CompteurTemps	Cx0	Cy0	
1	-3.25498	-0.0597216	
2	-1.54405	-0.0437059	
3	-1.32669	-0.0421164	
4	-1.23465	-0.0417232	
5	-1.18525	-0.0416249	
6	-1.15573	-0.0415357	
7	-1.1369	-0.0413777	
8	-1.12433	-0.0411423	
9	-1.11562	-0.0408454	
10	-1.10941	-0.0405084	
11	-1.36879	-0.0342333	
12	-1.25039	-0.0193276	
13	-1.22766	-0.0170198	
14	-1.2162	-0.0153491	
15	-1.2092	-0.0138409	
16	-1.20455	-0.012483	
17	-1.20129	-0.0112784	
18	-1.19894	-0.0102247	
19	-1.1972	-0.00931493	
20	-1.19588	-0.00853986	
21	-1.21155	-0.00356973	
22	-1.20388	-0.00169397	
23	-1.20147	-0.000901654	
24	-1.20011	-0.000485162	
25	-1.19921	-0.00021028	
26	-1.19856	-2.13713e-05	
27	-1.19809	0.000109633	
28	-1.19772	0.000199164	
29	-1.19744	0.000259206	
30	-1.19722	0.000297646	
31	-1.191	0.00162607	
32	-1.1883	0.000317184	
33	-1.18776	-9.55194e-05	
34	-1.18734	-0.000108895	
35	-1.18708	-0.000107464	
36	-1.18691	-9.55747e-05	
37	-1.18679	-8.30811e-05	
38	-1.1867	-7.38264e-05	
39	-1.18663	-6.86775e-05	
40	-1.18658	-6.71797e-05	
