CompteurTemps	Cx0	Cy0	
1	-3.91144	-0.0175681	
2	-1.70168	-0.0383637	
3	-1.45385	-0.040841	
4	-1.35202	-0.037335	
5	-1.29774	-0.0338628	
6	-1.26545	-0.0309007	
7	-1.24491	-0.0284061	
8	-1.23122	-0.0262854	
9	-1.22174	-0.0244608	
10	-1.21495	-0.0228725	
11	-1.42258	-0.0432665	
12	-1.31982	-0.0417128	
13	-1.30125	-0.0423248	
14	-1.29183	-0.0430271	
15	-1.28598	-0.043881	
16	-1.282	-0.0446878	
17	-1.27914	-0.0453935	
18	-1.27702	-0.0459807	
19	-1.27539	-0.0464501	
20	-1.27412	-0.0468094	
21	-1.28837	-0.0489136	
22	-1.28254	-0.0490878	
23	-1.28049	-0.048902	
24	-1.27929	-0.0489846	
25	-1.27847	-0.049076	
26	-1.27786	-0.0491398	
27	-1.2774	-0.0491722	
28	-1.27704	-0.0491768	
29	-1.27675	-0.0491588	
30	-1.27652	-0.0491246	
31	-1.26747	-0.0493294	
32	-1.26522	-0.0497317	
33	-1.26457	-0.0496796	
34	-1.26417	-0.0497198	
35	-1.26393	-0.049705	
36	-1.26376	-0.0496733	
37	-1.26364	-0.0496353	
38	-1.26355	-0.0495961	
39	-1.26348	-0.0495584	
40	-1.26343	-0.0495234	
