CompteurTemps	Cx0	Cy0	
1	-2.77057	0.0733811	
2	-1.44941	-0.00689937	
3	-1.25168	-0.0199602	
4	-1.16651	-0.0189348	
5	-1.12081	-0.0150613	
6	-1.09364	-0.0110446	
7	-1.07644	-0.00754062	
8	-1.06504	-0.00466206	
9	-1.05722	-0.00235179	
10	-1.05167	-0.000509724	
11	-1.30079	-0.0791739	
12	-1.19747	-0.0614359	
13	-1.17766	-0.0609999	
14	-1.16724	-0.0647672	
15	-1.16086	-0.0690023	
16	-1.15658	-0.0730277	
17	-1.15357	-0.0766088	
18	-1.15139	-0.0796727	
19	-1.14976	-0.0822231	
20	-1.14853	-0.0842971	
21	-1.15126	-0.0838508	
22	-1.14717	-0.0852687	
23	-1.14606	-0.0864635	
24	-1.14511	-0.0873801	
25	-1.14446	-0.0881117	
26	-1.14398	-0.0886725	
27	-1.14362	-0.0890882	
28	-1.14333	-0.0893863	
29	-1.14311	-0.089591	
30	-1.14293	-0.0897232	
31	-1.1351	-0.0839996	
32	-1.13362	-0.0856804	
33	-1.13329	-0.0855456	
34	-1.13304	-0.0855894	
35	-1.13288	-0.0855516	
36	-1.13277	-0.0854944	
37	-1.13269	-0.0854304	
38	-1.13263	-0.0853658	
39	-1.13258	-0.0853037	
40	-1.13254	-0.085246	
